131243.87-02155,   198.18278503,    -2.26505566,Cal, 7.0
PM_I13143+1320 ,   198.58483887,    13.33353615, 1,  15.1
BD+581441      ,   200.84707083,    57.90615000, y,   9.1
PM_I13317+2916 ,   202.94425964,    29.27687454, 1,  11.4
PM_I13348+3746 ,   203.71441650,    37.77209854, Gaia,  13.4
132822.78+36425,   202.09490967,    36.71452713,Cal, 10.8
PM_I14143-1521 ,   213.58903503,   -15.35601807, y,   9.9
PM_I14170+3142 ,   214.26194763,    31.71308136, 1,  12.4
HIP71914       ,   220.64020000,    19.47978208, 1,   8.2
PM_I14538+2333 ,   223.46447754,    23.55580330, 1,  11.1
PM_I14574-2124W,   224.36044312,   -21.41128922, 1,   6.4
14589+0636     ,   224.73045349,     6.60461092, Gaia,   8.8
CD-27_11535    ,   258.76498413,   -27.82777786, y,  10.1
J1735+2634     ,   263.80405120,    26.57991756, 1,  18.1
PM_I17378+1835 ,   264.47213745,    18.59157181, Gaia,   8.7
174417.25+14243,   266.07186890,    14.41002750,Cal, 6.1
175544.90+18300,   268.93707275,    18.50038910,Cal, 8.6
LSPMJ1750+4424 ,   267.55380833,    44.40120000, 1,  18.8
2MASSIJ1847034+,   281.76427000,    55.37870000, 1,  16.8
19074+3230     ,   286.85656738,    32.50172043, Gaia,   4.8
19196+3720     ,   289.91268921,    37.33097076, Gaia,   5.6
192334.01+33131,   290.89169312,    33.22194672,Cal, 5.8
193327.40+33120,   293.36413574,    33.20133591,Cal, 6.3
PM_I19247+0832 ,   291.17541504,     8.54972267, Gaia,  10.7
194244.15+08224,   295.68395996,     8.38036156,Cal, 8.2
HIP95995       ,   292.78560257,    58.58697671, 1,   7.4
J19560294-32071,   299.01224167,   -32.12186944, y,  12.6
J20223306-29274,   305.63779167,   -29.46388889, y,  14.0
PM_I20298+0941 ,   307.45135498,     9.68894100, 1,  12.3
PM_I20314+3833 ,   307.85684204,    38.56231689, 1,  12.9
PM_I20396+0458E,   309.90731812,     4.97192097, 1,   7.5
PM_I20532-0221 ,   313.31109619,    -2.35606599, y,  12.7
204744.84-06022,   311.93682861,    -6.03938866,Cal, 9.1
PM_I21013+3314 ,   315.33596802,    33.24110413, 1,  12.4
PM_I21205+3419 ,   320.14614868,    34.32992554, 1,  13.2
PM_I21376+0137 ,   324.41744995,     1.62048995, y,  12.6
PM_I21399+2736 ,   324.97653198,    27.61209297, 1,  11.0
